Window,Source start,Source end,Closed episodes,Peak concurrent selected episodes,Maximum episodes sharing an exit date,Method,Replacement,Accounting,Horizon episodes,Samples,Seed,Return scale,Capital floor fraction,Metric,Statistic,Value,Monte Carlo standard error,Confidence lower,Confidence upper,Confidence method,Selection adjusted,Dependence preserved,Permitted use,Limitations
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,Median,-0.034427584279791534,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P75,-0.029056968644802228,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P95,-0.02349363408505402,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P99,-0.020452320152571066,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P01,0.9496443391444219,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P05,0.9673700138939941,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P25,0.9864637445303426,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,Median,0.9951891569414566,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P75,0.9999408631631324,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P95,1.0149746803955553,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Minimum capital fraction,P99,1.0324245804319712,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P01,6.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P05,7.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P25,8.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),Median,9.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P75,10.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P95,12.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest losing streak (episodes),P99,15.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P01,27.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P05,31.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P25,40.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),Median,49.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P75,61.25,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P95,88.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Longest underwater run (episodes),P99,115.0,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Capital-floor breach probability (risk-of-ruin proxy),Probability,0.0,0.0,0.0,0.0007677019450571244,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum-drawdown breach probability (10% threshold),Probability,0.001,0.0004469899327725402,0.00042721349110879964,0.002338953050058211,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum-drawdown breach probability (15% threshold),Probability,0.0,0.0,0.0,0.0007677019450571244,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum-drawdown breach probability (20% threshold),Probability,0.0,0.0,0.0,0.0007677019450571244,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum-drawdown breach probability (30% threshold),Probability,0.0,0.0,0.0,0.0007677019450571244,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum-drawdown breach probability (40% threshold),Probability,0.0,0.0,0.0,0.0007677019450571244,95% Wilson score interval,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,random permutation without replacement,False,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Mean maximum drawdown in worst 5% of paths,Expected shortfall,-0.0679316402739893,0.0006573988411133716,,,tail mean; no interval estimated,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. A permutation conditions on the exact realized set of outcomes; its terminal contribution is fixed and it measures ordering only."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P01,1.2631606565945535,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P05,1.4290107875507345,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P25,1.6707451798740292,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,Median,1.8501963417883838,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P75,2.033504420430431,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P95,2.280818909741094,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Terminal contribution return,P99,2.4633187315712135,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P01,-0.08066355800006894,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
1990-2004 development history,1990-03-01,2004-12-01,806,55,12,iid episode bootstrap with replacement,True,additive net return contribution; initial capital = 1,806,5000,20260803,1.0,0.5,Maximum drawdown,P05,-0.060974502463511285,,,,not estimated for quantiles,False,False,supplementary retrospective risk diagnostic only,"Closed directional episodes overlap and share portfolio NAV. Resampling does not preserve simultaneous cross-market losses, sizing feedback, margin, volatility clustering, regime shifts, or unseen tail events. History is reused and results are not selection-adjusted or prospective. The iid bootstrap additionally assumes episodes are exchangeable, which can materially understate clustered or regime-dependent risk."
